all_trips_v2$member_casual,all_trips_v2$end_station_name,all_trips_v2$ride_id
casual,2112 W Peterson Ave,415
member,2112 W Peterson Ave,622
member,532 E 43rd St,1
casual,63rd & Western Ave - north corner,2
casual,63rd & Western Ave - south corner,1
casual,63rd St Beach,1252
member,63rd St Beach,507
casual,83rd St (Avalon Park) Metra,1
member,83rd St (Avalon Park) Metra,1
casual,900 W Harrison St,2667
member,900 W Harrison St,6704
casual,Aberdeen St & Jackson Blvd,3470
member,Aberdeen St & Jackson Blvd,7875
casual,Aberdeen St & Monroe St,3123
member,Aberdeen St & Monroe St,7807
casual,Aberdeen St & Randolph St,3776
member,Aberdeen St & Randolph St,6959
casual,Ada St & 113th St,37
member,Ada St & 113th St,11
member,Ada St & 95th St,1
casual,Ada St & Washington Blvd,2981
member,Ada St & Washington Blvd,5710
casual,Adler Planetarium,9279
member,Adler Planetarium,4830
casual,Albany Ave & 111th St - NW,1
casual,Albany Ave & 16th St,3
member,Albany Ave & 16th St,16
casual,Albany Ave & 26th St,156
member,Albany Ave & 26th St,89
casual,Albany Ave & 63rd St,2
casual,Albany Ave & Belmont Ave,57
member,Albany Ave & Belmont Ave,70
casual,Albany Ave & Bloomingdale Ave,2096
member,Albany Ave & Bloomingdale Ave,2384
casual,Albany Ave & Douglas Blvd,18
member,Albany Ave & Douglas Blvd,1
casual,Albany Ave & Montrose Ave,721
member,Albany Ave & Montrose Ave,1178
casual,Altgeld Gardens,56
member,Altgeld Gardens,1
casual,Archer (Damen) Ave & 37th St,265
member,Archer (Damen) Ave & 37th St,233
casual,Archer Ave & 43rd St,35
member,Archer Ave & 43rd St,16
casual,Artesian Ave & 55th St,37
member,Artesian Ave & 55th St,11
casual,Artesian Ave & Hubbard St,694
member,Artesian Ave & Hubbard St,1758
casual,Ashland Ave & 13th St,611
member,Ashland Ave & 13th St,2486
casual,Ashland Ave & 45th St,3
member,Ashland Ave & 45th St,1
member,Ashland Ave & 45th St - midblock south,3
casual,Ashland Ave & 46th St,1
casual,Ashland Ave & 50th St,83
member,Ashland Ave & 50th St,33
casual,Ashland Ave & 63rd St,84
